polish_title,original_title,year,rating
Stowarzyszenie Umarłych Poetów,Dead Poets Society,1989,"7,75"
"Pół żartem, pół serio",Some Like It Hot,1959,"7,75"
Dzień świra,,2002,"7,75"
Porachunki,"Lock, Stock and Two Smoking Barrels",1998,"7,74"
Pogorzelisko,Incendies,2010,"7,74"
Przeminęło z wiatrem,Gone with the Wind,1939,"7,74"
Seksmisja,,1983,"7,74"
Katedra,,2002,"7,74"
Za kilka dolarów więcej,Per qualche dollaro in più,1965,"7,73"
Zaginiona dziewczyna,Gone Girl,2014,"7,73"
Przesłuchanie,,1982,"7,73"
Efekt motyla,The Butterfly Effect,2004,"7,73"
Helikopter w ogniu,Black Hawk Down,2001,"7,73"
Miś,,1980,"7,73"
Twój Vincent,Loving Vincent,2017,"7,73"
Lektor,The Reader,2008,"7,73"
Blow,,2001,"7,73"
Trainspotting,,1996,"7,73"
Bez przebaczenia,Unforgiven,1992,"7,72"
Mandarynki,Mandariinid,2013,"7,72"
Wyścig,Rush,2013,"7,72"
Jak zostać królem,The King's Speech,2010,"7,72"
Grobowiec świetlików,Hotaru no Haka,1988,"7,72"
Za wszelką cenę,Million Dollar Baby,2004,"7,72"
American Gangster,,2007,"7,71"
Piraci z Karaibów: Klątwa Czarnej Perły,Pirates of the Caribbean: The Curse of the Black Pearl,2003,"7,71"
Witaj w klubie,Dallas Buyers Club,2013,"7,71"
Iluzjonista,The Illusionist,2006,"7,71"
Le Mans '66,Ford v Ferrari,2019,"7,71"
Piraci z Karaibów: Skrzynia umarlaka,Pirates of the Caribbean: Dead Man's Chest,2006,"7,71"
Co gryzie Gilberta Grape'a,What's Eating Gilbert Grape,1993,"7,71"
Samsara,,2011,"7,71"
Grand Budapest Hotel,The Grand Budapest Hotel,2014,"7,71"
Polowanie,Jagten,2012,"7,70"
Misja,The Mission,1986,"7,70"
Święci z Bostonu,The Boondock Saints,1999,"7,70"
Casablanca,,1942,"7,70"
Róża,,2011,"7,70"
Kiler,,1997,"7,70"
Harry Potter i Insygnia Śmierci: Część II,Harry Potter and the Deathly Hallows: Part 2,2011,"7,70"
Sherlock Holmes,,2009,"7,69"
Wołyń,,2016,"7,69"
Wilk z Wall Street,The Wolf of Wall Street,2013,"7,69"
Kafarnaum,Cafarnaúm,2018,"7,69"
Symetria,,2003,"7,69"
Oszukana,Changeling,2008,"7,68"
Absolwent,The Graduate,1967,"7,68"
Edward Nożycoręki,Edward Scissorhands,1990,"7,68"
Krótki film o zabijaniu,,1987,"7,68"
Mroczny Rycerz powstaje,The Dark Knight Rises,2012,"7,68"
Wojownik,Warrior,2011,"7,67"
Gadające głowy,,1980,"7,67"
Prawo Bronxu,A Bronx Tale,1993,"7,67"
Śniadanie u Tiffany'ego,Breakfast at Tiffany's,1961,"7,67"
W głowie się nie mieści,Inside Out,2015,"7,67"
Thor: Ragnarok,,2017,"7,67"
Donnie Brasco,,1997,"7,66"
W imię ojca,In the Name of the Father,1993,"7,66"
Spider-Man: Bez drogi do domu,Spider-Man: No Way Home,2021,"7,66"
Poszukiwacze zaginionej Arki,Raiders of the Lost Ark,1981,"7,66"
Rocky,,1976,"7,66"
Sam,I Am Sam,2001,"7,66"
Ciekawy przypadek Benjamina Buttona,The Curious Case of Benjamin Button,2008,"7,66"
Piraci z Karaibów: Na krańcu świata,Pirates of the Caribbean: At World's End,2007,"7,66"
Pewnego razu na Dzikim Zachodzie,C'era una volta il West,1968,"7,65"
Imię róży,Der Name der Rose,1986,"7,65"
Trener,Coach Carter,2005,"7,65"
Na noże,Knives Out,2019,"7,65"
Sekrety morza,Song of the Sea,2014,"7,65"
Dług,,1999,"7,65"
Życie za życie,The Life of David Gale,2003,"7,65"
Tańczący z wilkami,Dances with Wolves,1990,"7,65"
Boże Ciało,,2019,"7,64"
Wielki Mike. The Blind Side,The Blind Side,2009,"7,64"
David Attenborough: Życie na naszej planecie,David Attenborough: A Life On Our Planet,2020,"7,64"
Donnie Darko,,2001,"7,64"
Indiana Jones i ostatnia krucjata,Indiana Jones and the Last Crusade,1989,"7,64"
Okno na podwórze,Rear Window,1954,"7,64"
Dziewczyna z tatuażem,The Girl with the Dragon Tattoo,2011,"7,64"
Kapitan Phillips,Captain Phillips,2013,"7,64"
Łowca androidów,Blade Runner,1982,"7,64"
Ghost in the Shell,Kōkaku Kidōtai,1995,"7,64"
Ip Man,Yip Man,2008,"7,64"
Chinatown,,1974,"7,64"
Kimi no Na wa.,,2016,"7,64"
Czarny łabędź,Black Swan,2010,"7,63"
"Doktor Strangelove, lub jak przestałem się martwić i pokochałem bombę",Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,"7,63"
Harry Potter i więzień Azkabanu,Harry Potter and the Prisoner of Azkaban,2004,"7,63"
Mary i Max,Mary and Max,2009,"7,63"
Mulan,,1998,"7,63"
Wywiad z wampirem,Interview with the Vampire: The Vampire Chronicles,1994,"7,63"
Jak wytresować smoka 2,How to Train Your Dragon 2,2014,"7,63"
2001: Odyseja kosmiczna,2001: A Space Odyssey,1968,"7,62"
Imperium Słońca,Empire of the Sun,1987,"7,62"
Cudowny chłopak,Wonder,2017,"7,62"
Przypadek,,1981,"7,62"
Doskonały świat,A Perfect World,1993,"7,62"
Ojciec,The Father,2020,"7,62"
Deszczowa piosenka,Singin' in the Rain,1952,"7,62"
Persona,,1966,"7,61"
Wielka Szóstka,Big Hero 6,2014,"7,61"
Diuna,Dune,2021,"7,61"
Bogowie ulicy,End of Watch,2012,"7,61"
Vabank,,1981,"7,61"
Psy,,1992,"7,61"
Ultimatum Bourne'a,The Bourne Ultimatum,2007,"7,61"
Podejrzani,The Usual Suspects,1995,"7,61"
Wściekły Byk,Raging Bull,1980,"7,61"
9 kompania,9 rota,2005,"7,61"
Obdarowani,Gifted,2017,"7,61"
Uprowadzona,Taken,2008,"7,61"
Rzeka tajemnic,Mystic River,2003,"7,60"
Ostatni samuraj,The Last Samurai,2003,"7,60"
Ray,,2004,"7,60"
Rzymskie wakacje,Roman Holiday,1953,"7,60"
Nietykalni,The Untouchables,1987,"7,60"
American Beauty,,1999,"7,60"
K-PAX,,2001,"7,60"
Joe Black,Meet Joe Black,1998,"7,60"
Hannibal,,2001,"7,59"
Hobbit: Niezwykła podróż,The Hobbit: An Unexpected Journey,2012,"7,59"
Dobrze się kłamie w miłym towarzystwie,Perfetti sconosciuti,2016,"7,59"
Nie ma mocnych,,1974,"7,59"
Tańcząc w ciemnościach,Dancer in the Dark,2000,"7,58"
Iron Man,,2008,"7,58"
Ziemia obiecana,,1974,"7,58"
Mój sąsiad Totoro,Tonari no Totoro,1988,"7,58"
Jeniec: Tak daleko jak nogi poniosą,So weit die Füße tragen,2001,"7,58"
Senna,,2010,"7,58"
Nienawistna ósemka,The Hateful Eight,2015,"7,58"
Duma i uprzedzenie,Pride & Prejudice,2005,"7,57"
Cud w celi nr 7,7. Koğuştaki Mucize,2019,"7,57"
Jojo Rabbit,,2019,"7,57"
Wyznania gejszy,Memoirs of a Geisha,2005,"7,57"
Chce się żyć,,2013,"7,57"
Pociąg,,1959,"7,57"
Jutro będziemy szczęśliwi,Demain tout commence,2016,"7,57"
Baraka,,1992,"7,56"
Do utraty sił,Southpaw,2015,"7,56"
Człowiek słoń,The Elephant Man,1980,"7,56"
Epoka lodowcowa,Ice Age,2002,"7,56"
Noc na Ziemi,Night on Earth,1991,"7,56"
Hair,,1979,"7,56"
Dyktator,The Great Dictator,1940,"7,56"
Obywatel Kane,Citizen Kane,1941,"7,55"
Twardowsky 2.0,,2016,"7,55"
Motylek,Papillon,1973,"7,55"
Sherlock Holmes: Gra cieni,Sherlock Holmes: A Game of Shadows,2011,"7,55"
"Czarny kot, biały kot","Crna mačka, beli mačor",1998,"7,55"
Gwiezdne wojny: Część III - Zemsta Sithów,Star Wars: Episode III - Revenge of the Sith,2005,"7,55"
Kwiat pustyni,Desert Flower,2009,"7,55"
Amores perros,,2000,"7,55"
Dziecko Rosemary,Rosemary's Baby,1968,"7,55"
Siła i honor,Men of Honor,2000,"7,55"
Matrix,The Matrix,1999,"7,55"
Sól ziemi,Le sel de la terre,2014,"7,55"
Terminator 2: Dzień sądu,Terminator 2: Judgment Day,1991,"7,55"
Zaplątani,Tangled,2010,"7,55"
Choć goni nas czas,The Bucket List,2007,"7,55"
Hobbit: Pustkowie Smauga,The Hobbit: The Desolation of Smaug,2013,"7,54"
Tożsamość Bourne'a,The Bourne Identity,2002,"7,54"
Pan życia i śmierci,Lord of War,2005,"7,54"
Aż poleje się krew,There Will Be Blood,2007,"7,54"
Kabaret,Cabaret,1972,"7,54"
Sztuka spadania,,2004,"7,54"
Wichry namiętności,Legends of the Fall,1994,"7,54"
Paperman,,2012,"7,54"
Słaby punkt,Fracture,2007,"7,54"
Cyrk motyli,The Butterfly Circus,2009,"7,54"
Harry Potter i Czara Ognia,Harry Potter and the Goblet of Fire,2005,"7,53"
Miasto gniewu,Crash,2004,"7,53"
Jabłka Adama,Adams æbler,2005,"7,53"
Polowanie na Czerwony Październik,The Hunt for Red October,1990,"7,53"
Obcy - decydujące starcie,Aliens,1986,"7,53"
Logan: Wolverine,Logan,2017,"7,53"
"Tamte dni, tamte noce",Call Me by Your Name,2017,"7,53"
Jestem Bogiem,Limitless,2011,"7,53"
Wielkie piękno,La grande bellezza,2013,"7,53"
Marsjanin,The Martian,2015,"7,53"
21 gramów,21 Grams,2003,"7,53"
Był sobie pies,A Dog's Purpose,2017,"7,53"
